,MAE,MAE,RMSE,RMSE
window,A_pre,B_pre,A_pre,B_pre
horizon,,,,
1,679.2198244708309,679.2198244708309,1121.3744929954419,1121.3744929954419
2,684.3781704781707,684.3781704781707,1130.1571931023745,1130.1571931023745
3,689.5951857666142,689.5951857666142,1139.0446520527,1139.0446520527
4,694.8964172813488,694.8964172813488,1148.080475195449,1148.080475195449
5,700.2672679045094,700.2672679045094,1157.2398789588647,1157.2398789588647
6,705.7033119658122,705.7033119658122,1166.5153834438656,1166.5153834438656
7,711.2224852071009,711.2224852071009,1175.9376751983054,1175.9376751983054
8,716.8606957987239,716.8606957987239,1185.4854245688416,1185.4854245688416
9,722.5882160392796,722.5882160392796,1195.175627339326,1195.175627339326
10,728.395115995116,728.395115995116,1205.0051211121495,1205.0051211121495
11,734.2966365369241,734.2966365369241,1214.999805511336,1214.999805511336
12,740.2589124241297,740.2589124241297,1225.1024011081643,1225.1024011081643
