,MAE,MAE,RMSE,RMSE
window,A_pre,B_pre,A_pre,B_pre
horizon,,,,
1,100.83765394513487,103.60714023002201,202.03589274951707,191.91791101670577
2,106.88974781307465,123.76568548640576,197.88515697120903,239.96442422352794
3,101.46765172711137,120.34165286388489,202.8187775734483,228.10431111250935
4,101.04665493616307,140.7115478931707,200.91863086363458,273.90831158943075
5,107.46810995152592,153.56643660518742,224.5519460182802,296.20877924027354
6,110.08426864322192,184.37869766571788,240.13336007887824,421.6316702115974
7,104.14758061837993,178.57868479838078,206.9897204017108,394.9831277555786
8,99.35843128727322,171.99086706370502,184.34175359682996,378.14072291562894
9,101.06151214843786,187.423471716901,193.44039190449328,435.8111604528829
10,107.41706710930757,174.86625045265208,218.24204182459798,374.94996104947546
11,83.53893284082058,139.01451603213445,149.81590062513465,248.86962458218477
12,79.8406696850259,126.6627941364835,145.47279570224487,204.60409918661003
