,,MAE,MAE,RMSE,RMSE
window,,A_pre,B_pre,A_pre,B_pre
geo_id,horizon,,,,
BAR,1,284.7315488733314,283.25946845414967,380.75219532848814,387.84009307662643
BAR,2,284.6670646311473,284.4193903306401,379.2838042137722,393.97096336993576
BAR,3,290.62656760647457,283.0219757639703,386.6513006800575,386.4910769790651
BAR,4,288.8633346328758,281.16571617134724,383.2982111408348,380.7646471330131
BAR,5,293.61856537615006,290.7776735626499,392.0901736768702,392.9470327411859
BAR,6,297.9674786530484,280.05560284629263,402.70060436190573,382.9028145724023
BAR,7,281.91483018238495,268.9415831069765,371.88866222845314,351.5001397570323
BAR,8,283.88612314569684,281.30692939429326,367.9869770863498,363.31416009634415
BAR,9,279.5342965779598,287.235694138835,360.85579607650817,373.9893743513009
BAR,10,272.4618914496725,292.77642265145585,342.20031009477776,371.5972832725122
BAR,11,292.6590442006731,312.01347942530185,373.4816057085694,403.553916620166
BAR,12,285.87948740273225,312.3458563885467,368.40974068707334,411.1742961021303
CHA,1,32.83482971569544,52.9480530334547,46.102251791638814,66.8448543887725
CHA,2,49.47794353715374,48.3976623805599,65.38517815487151,59.92766711000051
CHA,3,28.675889051626008,44.678264814123864,43.89270422505335,69.5685236828873
CHA,4,40.527030913378965,78.56514178423029,56.532935471977034,109.35416718039495
CHA,5,53.700992342548936,74.45831284911193,79.3725524813302,105.01894817569685
CHA,6,45.635613847688965,73.56783542766127,64.64231084783694,114.01966956480601
CHA,7,51.41358534769409,77.72837514713932,76.78900590952902,122.7218696452102
CHA,8,38.584959911777005,75.2957750553379,54.836656737134156,105.69177062918008
CHA,9,30.81749623848698,75.28323532709965,42.832519734029525,117.42486454806996
CHA,10,54.76717897500262,67.8338331728351,97.02005871183172,124.82817989656576
CHA,11,35.445333942077895,41.4686442693863,44.01179677632523,61.64910978987517
CHA,12,25.068065390317166,42.53358995596624,35.752183041152264,58.72060061760654
COUNTRY_TOTAL,1,301.6810289271717,253.19606960757602,463.8012971580787,392.0877076358459
COUNTRY_TOTAL,2,336.0391092724445,379.2464681334863,441.04978756433644,562.4011205848119
COUNTRY_TOTAL,3,303.0408952056277,298.34718559396424,453.73443539097815,489.7927420421546
COUNTRY_TOTAL,4,282.58716789041995,412.1295763265214,442.98943965883285,653.9430597491195
COUNTRY_TOTAL,5,330.42354199991246,484.56393622007664,529.1047412711391,711.2069579046894
COUNTRY_TOTAL,6,350.970439267108,657.0759978070133,581.0851209234332,1091.1838474103015
COUNTRY_TOTAL,7,292.4752058399972,565.9794251061331,455.9991948108047,1000.2056560181468
