,,MAE,MAE,RMSE,RMSE
COUNTRY_TOTAL,8,247.54958933256552,520.2259577894903,361.5736316752037,944.954649232678
COUNTRY_TOTAL,9,274.4097793770096,629.1399149352544,407.6200542440712,1128.4653623170987
COUNTRY_TOTAL,10,312.17116370962697,527.0352609358475,501.87823922054986,949.4864895489336
COUNTRY_TOTAL,11,159.4793725277205,317.9187586355653,202.38074915160794,513.0193244712747
COUNTRY_TOTAL,12,123.2187860881258,245.8308364430857,180.69510008303047,326.49942862573454
DHA_DIV_ex_DHA_METRO,1,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,2,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,3,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,4,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,5,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,6,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,7,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,8,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,9,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,10,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,11,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,12,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_METRO,1,87.67907937454703,122.66702495802068,123.99637853467853,156.96620445973204
DHA_METRO,2,97.49588607991238,165.3594224409142,125.16693939968933,232.9054045628323
DHA_METRO,3,93.9948798905525,186.25523876639787,142.18411731209116,263.81475404390943
DHA_METRO,4,105.80829133931161,223.34933734578757,147.68598317896172,313.82394623040466
DHA_METRO,5,114.525969235467,278.97374157023046,172.6033620602759,375.3137406161581
DHA_METRO,6,119.35601458139105,364.77339477241316,188.7071612935131,573.8609739611644
DHA_METRO,7,101.4389203921148,369.85498738311736,171.23064410875426,561.9741185191828
DHA_METRO,8,109.5772817351898,337.7784343895549,158.00452756153328,531.6868390014766
DHA_METRO,9,96.686538262466,329.6811185025845,152.69871135268895,567.6672163931667
DHA_METRO,10,87.78656683171815,280.61382203969566,176.1673172036285,439.43874940520675
DHA_METRO,11,52.42278936534885,190.85129422029422,78.97048295317006,258.70214662845376
DHA_METRO,12,45.534402576841444,157.85120700687642,68.6618786685471,183.15591016854154
KHU,1,68.36992869480254,77.89191999150745,81.23656939056889,96.02723854340577
KHU,2,76.53461500224245,85.6170865699907,94.70225692028019,115.38805160523647
KHU,3,78.26162870654778,100.08043594011073,100.2918350308199,133.2269413695842
KHU,4,80.52259228778621,106.30897996745624,109.220722897697,147.54848891389207
KHU,5,76.18665302793917,100.09375101871069,107.8775982180418,143.81534495336405
KHU,6,76.23882390056468,117.21133513789462,115.0104326397725,191.22871284039235
KHU,7,94.24251464115065,123.91793328420577,143.43643244622297,186.07145996473014
KHU,8,87.22148197157928,117.37464372849877,133.58186073693744,185.53015790141393
KHU,9,86.49762303759533,126.71733208172633,145.33466114105065,220.9017480112455
KHU,10,92.66649646254103,118.83205051419229,170.48495243367947,201.21536499724482
KHU,11,64.62405373879281,86.08174468210913,92.75719264676857,127.5622599357834
KHU,12,69.24325984755238,79.40373284403671,96.85405238778131,108.18507989677109
MYM,1,38.70182930100205,47.242301595514284,50.46271770584125,58.050438234571786
MYM,2,39.17036020360396,53.16744503310635,53.52919737151933,70.25183077169396
MYM,3,35.97348770757786,64.89083496587725,49.8597784502486,86.50592107722845
MYM,4,35.61275296178759,72.19985581501894,52.339028253877906,101.48950357087283
MYM,5,32.35050689081204,69.76127759998838,47.504089148832136,99.44950411163346
MYM,6,30.35448152789345,79.48826745176851,44.534823749186614,122.4811219450153
MYM,7,37.796646371881025,90.88860954033537,57.92680729522485,134.33634518517061
MYM,8,38.936538861380235,94.63684535899307,61.251903398693116,145.168357626369
MYM,9,40.50855329381208,104.61615462943466,67.97266554840235,171.07888873187002
MYM,10,46.032274359907646,108.8207941556932,83.35708175384511,178.8874137744052
MYM,11,38.53297452078495,100.09275559920107,57.224693489613095,163.33698071096876
MYM,12,42.23989402241746,96.16140023885085,57.46319391407761,153.81380690997017
RAJ,1,49.70288262502094,56.50063651473123,60.34190462030374,67.67876198527794
RAJ,2,40.72666842441041,69.12788693723513,55.371594872662506,92.25314460623274
RAJ,3,44.784976143792356,62.0529217667528,59.2386270330064,98.51311170145839
RAJ,4,38.48089959791239,67.06082360297547,54.551567754712735,113.0136437007288
RAJ,5,39.36310016157738,72.35430703777423,54.49284741634419,110.58094483656586
RAJ,6,48.172513480426076,97.3028977948411,69.75979739420131,147.772165131686
RAJ,7,37.261100572082434,93.85796477750748,64.22115744550116,148.0960503000879
RAJ,8,36.91175709139922,88.16767624434092,62.44320200991437,146.27684119990707
RAJ,9,44.614722616417865,102.05167273385158,70.71654892925008,177.31325353438606
RAJ,10,40.57037089759529,109.56701867977951,72.93435966415898,178.66787466832255
RAJ,11,27.535351839149655,86.55490513472566,35.91193802627487,127.03846002444291
RAJ,12,33.77103657733932,79.26857622937968,39.62419457747468,107.04411553606923
RAN,1,37.064849783442064,40.47845799798046,45.64082868975963,52.137118647884556
RAN,2,36.98003313634085,48.22257420096996,48.35720312355191,65.39907597940838
RAN,3,34.33794676862958,56.72944192972541,44.82658278993897,76.40560541235833
RAN,4,34.20033814145208,58.070742629994996,46.53827185060871,78.98657222987404
RAN,5,33.127623933688284,61.67108778796626,46.00814961917802,84.51806679250396
RAN,6,31.778173659711857,67.63391633737398,42.41981637589361,93.87008598024543
RAN,7,37.98686499579651,82.90257573400825,53.73106266960768,118.91626729086234
RAN,8,40.35668417833676,89.27191902302394,58.48641802463216,130.0918910834957
RAN,9,43.72577978016856,100.73861775203403,66.96350043160639,149.90509730816513
RAN,10,49.42546901269965,119.52220021878355,81.06546169685254,184.5767645099683
RAN,11,46.892308004728406,130.68667849619845,68.45045756616047,210.8502903636395
RAN,12,50.49142507691765,126.12439619961165,69.81274159445964,200.72287514867458
SYL,1,35.07210061787396,29.34900860882416,43.24157142143325,36.263526009460456
SYL,2,35.26733630502949,31.560457298693276,46.510564900379386,39.83414916077877
SYL,3,32.44178465182386,34.82176755946476,43.746166011368274,44.37844622685506
SYL,4,31.325680058244473,35.72684374991314,42.98558781338538,47.41577892799944
SYL,5,28.845685008702212,30.4718168669044,40.201780467155864,38.45932281874136
SYL,6,27.83068597592499,34.13926754345837,35.864718548692224,45.16694066939687
SYL,7,34.40767630223607,39.17693236592299,46.82856205229133,51.71449952942302
SYL,8,38.02143510634587,43.312028115055696,54.03710804019579,58.55896038019769
SYL,9,41.28187076200083,46.23251552972839,59.843436074507245,64.33578680858548
SYL,10,45.75079785585034,51.12264061977662,71.4143489095494,72.3691612666316
SYL,11,45.259638730468204,51.938438320100836,64.13891848047835,71.97561448906032
SYL,12,50.42187832955385,54.56988452001967,65.32151545511404,70.68587348345157
