horizon,fold_id,mode,MAE,RMSE
1,F1,slow_locf,315.0700406607658,576.3148132013571
1,F2,slow_locf,56.15210610638002,122.21719226961824
1,F3,slow_locf,51.3715081514003,175.9102632452852
1,F4,slow_locf,4984709.613888025,46187850.35467073
1,F5,slow_locf,480.8582981393266,733.5845484589773
2,F1,slow_locf,361.11860527372755,651.4939457672043
2,F2,slow_locf,59.9686905317832,133.06884700991435
2,F3,slow_locf,55.40421906540389,210.09149964147554
2,F4,slow_locf,2816972.5481375055,26334950.41329874
2,F5,slow_locf,558.5383053194984,836.1896180774544
3,F1,slow_locf,410.1491056352504,739.2780549262528
3,F2,slow_locf,62.38158881450803,134.30060357656836
3,F3,slow_locf,54.449260812801896,219.16896111832475
3,F4,slow_locf,3437683.963757421,33837324.48192136
3,F5,slow_locf,652.2174005721375,956.9158596902867
4,F1,slow_locf,461.69414905178365,832.7276669145547
4,F2,slow_locf,68.40649662084084,143.00177653766005
4,F3,slow_locf,56.38264710564401,229.5300755083742
4,F4,slow_locf,6552144.851674346,70424273.49991874
4,F5,slow_locf,784.3432299462075,1135.4423890310902
5,F1,slow_locf,507.64254642802314,953.623729304526
5,F2,slow_locf,72.43599793604915,153.68047182882182
5,F3,slow_locf,57.5403966463865,234.1007495839116
5,F4,slow_locf,23579234.737522162,283093534.1123563
5,F5,slow_locf,905.2484486139114,1402.382001271069
6,F1,slow_locf,575.7740130574429,1175.1228219628597
6,F2,slow_locf,81.07997976940082,190.5376027496061
6,F3,slow_locf,57.959146820887526,236.981290202416
6,F4,slow_locf,90609219.58824535,1190207708.45739
6,F5,slow_locf,1095.9905358339415,1898.9572957057746
7,F1,slow_locf,648.8273793879662,1376.25512130809
7,F2,slow_locf,83.09010221420132,184.60874851590168
7,F3,slow_locf,71.00795492300794,257.371132289898
7,F4,slow_locf,61380488.740480274,575799890.4510514
7,F5,slow_locf,1275.234656179554,2246.305209555429
8,F1,slow_locf,732.3209913651782,1663.773999733306
8,F2,slow_locf,82.74506962481175,180.56982680123392
8,F3,slow_locf,23795.448562902893,182857.5661333054
8,F4,slow_locf,26214345.41897195,213743428.82437244
8,F5,slow_locf,1434.998066026593,2548.149526950075
9,F1,slow_locf,824.2665572089916,2060.170793356917
9,F2,slow_locf,84.3731204342087,192.42572507765965
9,F3,slow_locf,12953672169.748817,104507728299.29
9,F4,slow_locf,21808577.808870055,215670106.26207796
9,F5,slow_locf,1606.6149941108285,3122.3021206757167
10,F1,slow_locf,893.3231280410276,2383.3547978382903
10,F2,slow_locf,82.48793354635431,170.3860112754946
10,F3,slow_locf,3.9726027171526104e+16,3.77372257365532e+17
10,F4,slow_locf,27448935.05895175,323797796.21027094
10,F5,slow_locf,1734.0170061429205,3480.418441175478
11,F1,slow_locf,931.1033150216231,2510.366820034543
11,F2,slow_locf,77.35450347529533,146.4773720490745
11,F3,slow_locf,1.1482680778094701e+21,1.2216667929149746e+22
11,F4,slow_locf,55331522.27425193,655257928.6853925
11,F5,slow_locf,1812.1599114273752,3593.5491058622342
12,F1,slow_locf,944.71109205927,2525.8356159046834
12,F2,slow_locf,76.76555551434284,140.9759761082035
12,F3,slow_locf,8.28036850315493e+23,1.2650898908982167e+25
12,F4,slow_locf,175422312.88877657,2244720620.0069046
12,F5,slow_locf,1818.787472604361,3559.0313804129482
