,MAE,MAE,RMSE,RMSE
window,A_pre,B_pre,A_pre,B_pre
horizon,,,,
1,427.3688789460601,427.3688789460601,441.4970524497099,441.4970524497099
2,430.35041451708145,430.35041451708145,444.5398726514844,444.5398726514844
3,433.3658610642737,433.3658610642737,447.62232629697996,447.62232629697996
4,436.4299847793,436.4299847793,450.7596092870335,450.7596092870335
5,439.5343484952678,439.5343484952678,453.9431973111684,453.9431973111684
6,442.67639416482024,442.67639416482024,457.1705511597481,457.1705511597481
7,445.8664886870018,445.8664886870018,460.45241935757,460.45241935757
8,449.1512178484009,449.1512178484009,463.7814469415505,463.7814469415505
9,452.4922713220581,452.4922713220581,467.16362959184266,467.16362959184266
10,455.8796296296297,455.8796296296297,470.5979385205188,470.5979385205188
11,459.3221832790178,459.3221832790178,474.0935074919618,474.0935074919618
12,462.8001775465541,462.8001775465541,477.6303692538249,477.6303692538249
