horizon,fold_id,mode,MAE,RMSE
1,F1,slow_locf,618.1119943318583,792.0823534501832
1,F2,slow_locf,455.1318954473316,463.14146737380366
1,F3,slow_locf,261.24391349391357,303.4182527327448
1,F4,slow_locf,1649.1988196988195,2892.8381194653643
1,F5,slow_locf,581.0487718035785,944.3406388139095
2,F1,slow_locf,623.0156068017702,794.7326566844009
2,F2,slow_locf,458.31605964939325,466.3574214468385
2,F3,slow_locf,266.664656904967,307.22912161873796
2,F4,slow_locf,1647.838246831,2891.374485734868
2,F5,slow_locf,582.7614189028329,944.0578038823915
3,F1,slow_locf,628.0146056668203,797.4796373609686
3,F2,slow_locf,461.5364394570743,469.6123958253374
3,F3,slow_locf,272.3193370415594,311.27502185919053
3,F4,slow_locf,1646.4460365342718,2889.8785721279273
3,F5,slow_locf,584.5255486968449,943.788489659108
4,F1,slow_locf,633.1545351397251,800.3378476268806
4,F2,slow_locf,464.80880458962645,472.92237868415447
4,F3,slow_locf,278.27711764297146,315.6127357573795
4,F4,slow_locf,1645.01547107766,2888.329828236837
4,F5,slow_locf,586.3307512305335,943.5322182733822
5,F1,slow_locf,638.4084176465226,803.304885159245
5,F2,slow_locf,468.1241444804662,476.27831114417927
5,F3,slow_locf,284.52516619183285,320.2410446611427
5,F4,slow_locf,1643.5559440559439,2886.7389271954276
5,F5,slow_locf,588.1653297993537,943.2906624611076
6,F1,slow_locf,643.7833298776695,806.3826230271243
6,F2,slow_locf,471.4797272343569,479.67746849806616
6,F3,slow_locf,291.07278350013394,325.1746128639609
6,F4,slow_locf,1642.0612535612531,2885.108698273724
6,F5,slow_locf,590.0279858839529,943.0649022736837
7,F1,slow_locf,649.3304992623649,809.5833576690708
7,F2,slow_locf,474.886624296881,483.13111443305837
7,F3,slow_locf,297.9810566301795,330.46825452066895
7,F4,slow_locf,1640.5584935897436,2883.4240559735294
7,F5,slow_locf,591.9284407864656,942.8551543770365
8,F1,slow_locf,654.9965609026455,812.9057002158507
8,F2,slow_locf,478.3640102724608,486.6314495886545
8,F3,slow_locf,305.2462719129386,336.1286282674391
8,F4,slow_locf,1639.0238999683443,2881.694124468559
8,F5,slow_locf,593.8929047136239,942.6629353677366
9,F1,slow_locf,660.7923681257013,816.3588656925198
9,F2,slow_locf,481.89598108747015,490.1847228210843
9,F3,slow_locf,312.91793289015504,342.2042373131649
9,F4,slow_locf,1637.4618294887114,2879.9099563869013
9,F5,slow_locf,595.9398479050852,942.4889462878808
10,F1,slow_locf,666.7377286199669,819.9467801601081
10,F2,slow_locf,485.47690272690267,493.7897936548533
10,F3,slow_locf,321.02216795550123,348.7266462226326
10,F4,slow_locf,1635.850287235533,2878.072001886843
10,F5,slow_locf,598.0497590346822,942.3343689784864
11,F1,slow_locf,672.8446930915119,823.682085397512
11,F2,slow_locf,489.1161737276844,497.4561823046567
11,F3,slow_locf,329.6300206692363,355.7651689392275
11,F4,slow_locf,1634.1915163026274,2876.166612228668
11,F5,slow_locf,600.2320448755634,942.2000272849982
12,F1,slow_locf,679.0751264027626,827.5531442781888
12,F2,slow_locf,492.7929105247943,501.1628941677128
12,F3,slow_locf,338.697976920199,363.2961934633444
12,F4,slow_locf,1632.5101566146761,2874.2202552244016
12,F5,slow_locf,602.4649464279092,942.0878572229467
