fold,MAE,RMSE
F1,332.09006469233725,561.3185873277517
F2,35.55273897732574,71.8276133514837
F3,98.79302486408945,227.78295098077567
F4,1089.1163600161008,1973.6635727221185
F5,413.240666200796,711.0904581956199
