geo_id,model,MAE_macro,RMSE_macro,bias_macro
BAR,conservative_stack,163.4274668714391,192.25160165046088,-14.917245014771561
BAR,persistence,172.29568678000743,207.50763715546975,2.337607224699616
BAR,ar_tweedie_global,181.9628872868625,222.1668123195631,-29.258875384219984
BAR,residual_random_forest,188.34986194474052,229.55639939923634,-39.97671839517052
BAR,residual_elastic_net_global,189.57629038587538,249.701464805667,-58.70336579893562
BAR,residual_hist_gbm,189.62356501933667,227.80232262144864,-1.2092854545750926
BAR,panel_hist_gbm,365.0605950006343,438.94561064494616,313.657950086307
BAR,seasonal_naive_52,615.4288630698006,747.9941498107945,63.08627047720796
CHA,conservative_stack,180.87221101007563,217.38064878419522,-23.197841870284837
CHA,persistence,199.7433706103679,244.0436325463972,1.6335300925925926
CHA,residual_random_forest,212.05226253482076,262.5009916672474,-43.830688459280445
CHA,ar_tweedie_global,213.26855383164119,262.88961230679735,-36.15348971229133
CHA,residual_hist_gbm,213.3333051551139,260.39647417143317,-12.579426983994077
CHA,residual_elastic_net_global,242.4145858616734,316.2524517334322,-95.94477245577357
CHA,panel_hist_gbm,446.33947892639156,533.7229444351237,359.20611525782294
CHA,seasonal_naive_52,622.0289256239936,791.6820640161518,70.03604813111603
DHA_DIV_OUT_METRO,conservative_stack,266.8792199851699,321.27817241714143,-6.313398900390487
DHA_DIV_OUT_METRO,residual_random_forest,280.4742460082323,335.6467136718844,-23.084637895697348
DHA_DIV_OUT_METRO,ar_tweedie_global,281.3648367689098,346.4335713477832,-5.470843139800355
DHA_DIV_OUT_METRO,residual_elastic_net_global,288.15852921272887,380.5716965997718,-19.732504701976687
DHA_DIV_OUT_METRO,persistence,290.50574972129317,363.66527653968456,4.379964232627276
DHA_DIV_OUT_METRO,residual_hist_gbm,292.72851948390024,353.81184937844625,-9.322175806539065
DHA_DIV_OUT_METRO,panel_hist_gbm,589.3889025790836,697.7271608712896,532.7951160225076
DHA_DIV_OUT_METRO,seasonal_naive_52,928.1678087064907,1117.5584503059285,147.30954659822862
DHA_METRO,conservative_stack,468.6932020609924,638.081282688586,-31.800573602042643
DHA_METRO,residual_random_forest,509.15998841198814,701.0731283164074,7.847458899185906
DHA_METRO,persistence,512.3004147312027,692.6076764982251,8.76190743837483
DHA_METRO,residual_hist_gbm,532.7759800079482,731.7282232278276,2.0409829039284446
DHA_METRO,ar_tweedie_global,573.067383833133,775.4575921743437,-18.475295474035107
DHA_METRO,residual_elastic_net_global,796.5694185136149,1100.7478481686376,-259.9266941036589
DHA_METRO,panel_hist_gbm,1102.715943518628,1364.130995989349,979.4860544372433
DHA_METRO,seasonal_naive_52,1479.165047264028,2091.642429389105,32.19068828966937
KHU,conservative_stack,142.01110770390073,182.57395840026683,-5.364646391755164
KHU,residual_elastic_net_global,145.76557596414446,186.89914296755566,-0.04672070399009742
KHU,ar_tweedie_global,155.8949266099287,193.9931460886068,-8.696268388394623
KHU,residual_random_forest,156.96384016761212,204.54192911459825,-32.89774293108993
KHU,persistence,160.51548324662454,208.07941800467412,2.1799749163879607
KHU,residual_hist_gbm,165.35273610505885,218.82867315110917,-2.05591753304508
KHU,panel_hist_gbm,338.1418982304197,417.87676621635194,297.4536698772624
KHU,seasonal_naive_52,534.0440537904124,638.5016626697802,71.40079253375445
MYM,conservative_stack,40.17094387776575,53.397101748356945,-5.873395447777147
MYM,ar_tweedie_global,43.737252881290786,60.062634998297746,-7.500823295853696
MYM,persistence,43.9121305586523,60.185238325639894,0.7256860058218753
MYM,residual_random_forest,46.334095224410746,60.80748012087872,-20.17351069930105
MYM,residual_hist_gbm,52.748358007309804,74.56975071716751,-1.4113720720620737
MYM,residual_elastic_net_global,61.99753396017238,88.94126238470686,-25.059847125715603
MYM,panel_hist_gbm,65.96518203820631,82.41823605496222,50.661664145421376
MYM,seasonal_naive_52,123.69586139755977,161.61402600920937,21.375004606404058
RAJ,conservative_stack,77.29941494042781,102.12391673453753,-0.8321030989986361
RAJ,residual_random_forest,82.71508013971098,107.40997468092708,-17.74027986382275
RAJ,ar_tweedie_global,84.00209870925761,109.11686976980018,-6.516012594185601
RAJ,residual_elastic_net_global,85.8645620614337,116.95037281687259,0.311308042158021
RAJ,persistence,87.4284085067509,117.16730805402061,1.0949631487674965
RAJ,residual_hist_gbm,88.51901346094212,115.78002715451424,11.917775291298952
RAJ,panel_hist_gbm,192.7054844564238,236.98739555811005,162.18954871740098
RAJ,seasonal_naive_52,310.9836574461167,369.11722851117133,22.558648233308595
RAN,persistence,29.54610538213799,41.64000059224937,0.09021886225690574
RAN,conservative_stack,29.94157412427842,40.630802980893634,-5.994068270796841
RAN,ar_tweedie_global,32.79513235888124,51.82231927055365,-7.021947017279638
RAN,residual_hist_gbm,34.62101043304547,49.30778627955162,-4.372324444747052
RAN,residual_random_forest,35.070410910082614,52.18437654918101,-18.137534947527527
RAN,residual_elastic_net_global,48.21246882751085,72.47290438634114,-22.239093029500083
RAN,panel_hist_gbm,50.615680362056004,67.54527252941845,32.35887754871554
RAN,seasonal_naive_52,90.4069619797473,117.44817079156819,13.330955615942026
SYL,persistence,8.663996887774061,13.465842656348643,0.0923432274247491
SYL,panel_hist_gbm,8.705235680424042,13.134623543311049,4.030419862938626
SYL,ar_tweedie_global,9.875427729024139,15.821468138351307,-1.5466106901637415
SYL,conservative_stack,11.739801989610225,17.48286394257726,-5.132731078042665
SYL,residual_random_forest,19.43139684276891,34.93674699506266,-15.330718005420666
SYL,residual_elastic_net_global,19.73235108140727,30.48823406507694,-11.818377572905174
SYL,residual_hist_gbm,22.12205524699778,33.41382093149318,-13.145399532287932
SYL,seasonal_naive_52,24.912892279821627,36.669926206913274,2.34451621144556
