geo_id,weeks,zero_pct,mean_cases,variance_to_mean,peak_week_of_year,stl_seasonal_strength,acf_lag_1,acf_lag_52,gap_weeks
DHA_DIV,195,3.076923076923077,1436.1076923076923,4287.967346313096,42,0.2934481987891669,0.980424479890428,0.2243138614539945,11
DHA_METRO,195,3.076923076923077,1003.5230769230768,2797.050973469677,42,0.3359377700328037,0.9764006940760068,0.2185721882185183,11
CHA,195,6.666666666666667,372.8102564102564,1164.5621985658506,39,0.2766213192836886,0.9795710860748672,0.184836426711662,11
BAR,195,14.358974358974358,303.9230769230769,1084.4700128115812,39,0.2013417952317729,0.975840514451428,0.0067297883916885,11
KHU,195,15.897435897435896,253.67179487179487,1181.509006290273,45,0.3857197194890251,0.9803215998142608,0.2161505572678118,11
RAJ,195,35.38461538461539,140.97435897435898,649.9398225409054,42,0.272009386705461,0.9745365378701998,0.1390195066576359,11
MYM,195,20.51282051282051,65.71282051282051,251.27782837392732,43,0.2451937500868667,0.9680608584550292,0.1090392436573258,11
RAN,195,50.256410256410255,38.06666666666667,211.5366602271291,40,0.1410743469367655,0.9614237614056512,0.0198167219437457,11
SYL,195,55.8974358974359,10.071794871794872,61.426512272450495,32,0.0306091608201284,0.952727224273018,-0.0778850846443452,11
