geo_id,model,MAE_macro,RMSE_macro,bias_macro
BAR,persistence,436.23579716234275,544.9250607978261,27.225776631975833
BAR,ar_tweedie_global,513.7207208551249,653.9700506577557,-77.53721366721857
BAR,panel_hist_gbm,551.2890980774926,724.8852714935166,151.92865816091103
BAR,seasonal_naive_52,616.314715233042,749.2858618061451,63.972122640449356
CHA,persistence,537.7915585812125,649.2720623464688,36.00467303661358
CHA,ar_tweedie_global,569.9714864990098,694.9657825071339,-29.816840152661577
CHA,panel_hist_gbm,570.0867995429014,718.9042326524757,264.9295091693196
CHA,seasonal_naive_52,623.4612953229065,793.6748554541713,71.46841783002891
DHA_DIV_OUT_METRO,persistence,735.6627916434128,957.4149268235444,63.12636985620731
DHA_DIV_OUT_METRO,panel_hist_gbm,794.7736898882351,993.3944984254275,347.7481010304533
DHA_DIV_OUT_METRO,ar_tweedie_global,859.1816097542737,1115.7116467858325,-122.91373298134988
DHA_DIV_OUT_METRO,seasonal_naive_52,928.5621031323624,1118.3884596006951,147.7038410241003
DHA_METRO,panel_hist_gbm,1319.2363512108236,1682.8664232822887,779.108082952142
DHA_METRO,persistence,1394.6261845470474,1706.1082567406563,133.5734045272878
DHA_METRO,seasonal_naive_52,1495.0170525441458,2108.911925202926,48.04269356978706
DHA_METRO,ar_tweedie_global,1752.531576380091,2182.301109842917,-286.3793799204403
KHU,persistence,451.77168924167404,605.2074264597502,35.571884000547165
KHU,panel_hist_gbm,464.40435298137714,581.5077931694262,193.8893031255579
KHU,ar_tweedie_global,479.38286263006495,608.6033695652169,-42.0698974032281
KHU,seasonal_naive_52,534.3537046872331,639.0891675939384,71.73956723969539
MYM,persistence,108.31896114452712,137.12908592173255,10.857368545018506
MYM,ar_tweedie_global,109.95793888682034,143.12269536495128,-22.319132555369514
MYM,panel_hist_gbm,117.39532109962862,154.56589949037294,8.696467277035243
MYM,seasonal_naive_52,124.03993659119554,162.06976959831314,21.72188511786881
RAJ,ar_tweedie_global,194.63340777230982,232.40304798864383,23.864546059376654
RAJ,panel_hist_gbm,229.44388533792278,283.74463837586734,124.24795432254932
RAJ,persistence,236.25676205025445,320.80123027882024,16.36416101407515
RAJ,seasonal_naive_52,311.03443158377246,369.2478943153738,22.602419996485665
RAN,ar_tweedie_global,74.42838638304951,89.0978265578129,0.43529204195470506
RAN,persistence,75.78536025413928,94.7577008056985,4.11435146300423
RAN,panel_hist_gbm,76.27417647442238,104.21974916751819,21.134806214730187
RAN,seasonal_naive_52,90.48907553816368,117.58090129846065,13.421288409356809
SYL,panel_hist_gbm,20.790230236590823,26.709912808796744,-0.004160085118038781
SYL,persistence,20.98062724263503,26.683190769736516,1.473736207418241
SYL,ar_tweedie_global,23.439805493823467,29.298107479866168,-2.035860621254241
SYL,seasonal_naive_52,25.031225856455634,36.88211746924852,2.462849788079568
