geo_id,geo_name,origin_week,target_week,horizon,y_pred,model,fit_status,model_rank_from_backtest,is_primary_model
BAR,Barishal,2025-09-15,2025-09-22,1,0.46782690089644047,conservative_stack,stack_from_backtest_mae,1.0,1.0
BAR,Barishal,2025-09-15,2025-09-29,2,0.6532684727619854,conservative_stack,stack_from_backtest_mae,1.0,1.0
BAR,Barishal,2025-09-15,2025-10-06,3,0.8671742988603869,conservative_stack,stack_from_backtest_mae,1.0,1.0
BAR,Barishal,2025-09-15,2025-10-13,4,1.0843979427132109,conservative_stack,stack_from_backtest_mae,1.0,1.0
CHA,Chattogram,2025-09-15,2025-09-22,1,0.4800990220900161,conservative_stack,stack_from_backtest_mae,1.0,1.0
CHA,Chattogram,2025-09-15,2025-09-29,2,0.6898656673277074,conservative_stack,stack_from_backtest_mae,1.0,1.0
CHA,Chattogram,2025-09-15,2025-10-06,3,0.9338348544840094,conservative_stack,stack_from_backtest_mae,1.0,1.0
CHA,Chattogram,2025-09-15,2025-10-13,4,1.167251954668373,conservative_stack,stack_from_backtest_mae,1.0,1.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-09-22,1,8.411809627612508,conservative_stack,stack_from_backtest_mae,1.0,1.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-09-29,2,13.43145038441973,conservative_stack,stack_from_backtest_mae,1.0,1.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-10-06,3,30.28500789640526,conservative_stack,stack_from_backtest_mae,1.0,1.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-10-13,4,36.77120769193564,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-09-22,1,0.4797140148633117,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-09-29,2,0.7130085628224833,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-10-06,3,0.9972423228209699,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-10-13,4,1.2859907660227885,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-09-22,1,1.536431212786316,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-09-29,2,3.657849935265162,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-10-06,3,4.856275936122987,conservative_stack,stack_from_backtest_mae,1.0,1.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-10-13,4,2.3919833289148187,conservative_stack,stack_from_backtest_mae,1.0,1.0
KHU,Khulna,2025-09-15,2025-09-22,1,0.8566117369988051,conservative_stack,stack_from_backtest_mae,1.0,1.0
KHU,Khulna,2025-09-15,2025-09-29,2,0.6570365707385345,conservative_stack,stack_from_backtest_mae,1.0,1.0
KHU,Khulna,2025-09-15,2025-10-06,3,2.689537168510869,conservative_stack,stack_from_backtest_mae,1.0,1.0
KHU,Khulna,2025-09-15,2025-10-13,4,4.2255596786372,conservative_stack,stack_from_backtest_mae,1.0,1.0
MYM,Mymensingh,2025-09-15,2025-09-22,1,0.7840068791234442,conservative_stack,stack_from_backtest_mae,1.0,1.0
MYM,Mymensingh,2025-09-15,2025-09-29,2,1.2741748105376811,conservative_stack,stack_from_backtest_mae,1.0,1.0
MYM,Mymensingh,2025-09-15,2025-10-06,3,6.158461139001683,conservative_stack,stack_from_backtest_mae,1.0,1.0
MYM,Mymensingh,2025-09-15,2025-10-13,4,8.853335170263426,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAJ,Rajshahi,2025-09-15,2025-09-22,1,0.4344263547112915,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAJ,Rajshahi,2025-09-15,2025-09-29,2,0.8226043829725981,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAJ,Rajshahi,2025-09-15,2025-10-06,3,2.7871519149327746,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAJ,Rajshahi,2025-09-15,2025-10-13,4,1.0346165806151015,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAN,Rangpur,2025-09-15,2025-09-22,1,1.6557830219437972,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAN,Rangpur,2025-09-15,2025-09-29,2,2.668811125224056,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAN,Rangpur,2025-09-15,2025-10-06,3,5.7838363056026285,conservative_stack,stack_from_backtest_mae,1.0,1.0
RAN,Rangpur,2025-09-15,2025-10-13,4,7.915628912988825,conservative_stack,stack_from_backtest_mae,1.0,1.0
SYL,Sylhet,2025-09-15,2025-09-22,1,1.7169104841990852,conservative_stack,stack_from_backtest_mae,1.0,1.0
SYL,Sylhet,2025-09-15,2025-09-29,2,2.2948308567695226,conservative_stack,stack_from_backtest_mae,1.0,1.0
