geo_id,geo_name,origin_week,target_week,horizon,cases,cases_nonzero_recent_4,cases_zero_run_length,cases_weeks_since_nonzero,cases_outbreak_flag_4_8,y_pred,model,fit_status,model_rank_from_backtest,is_primary_model
BAR,Barishal,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,565.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
BAR,Barishal,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,609.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
CHA,Chattogram,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,770.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
CHA,Chattogram,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,940.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
CHA,Chattogram,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,959.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
CHA,Chattogram,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,906.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-09-22,1,,,,,,5457.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-09-29,2,,,,,,6800.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-10-06,3,,,,,,6445.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
COUNTRY_TOTAL,Bangladesh Total,2025-09-15,2025-10-13,4,,,,,,6772.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,1065.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,1290.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,1197.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_DIV_OUT_METRO,Dhaka Division Outside Metro,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,1113.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,2213.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,2782.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,2571.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
DHA_METRO,Dhaka Metro,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,2776.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
KHU,Khulna,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,452.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
KHU,Khulna,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,611.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
KHU,Khulna,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,536.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
KHU,Khulna,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,747.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
