track,model,role,n_groups,MAE_macro,RMSE_macro,bias_macro
experimental,persistence,val,360,403.0157241904896,510.9864760378036,43.798223750285416
experimental,panel_hist_gbm,val,360,516.1836595221544,692.3847761610378,67.22453502522245
experimental,seasonal_naive_52,val,360,521.9073232571665,716.4529547115469,-40.53383983366271
experimental,ar_tweedie_global,val,360,540.1125209369586,714.0087168891421,-0.7196414058166615
