track,model,role,n_groups,MAE_macro,RMSE_macro,bias_macro
operational,persistence,val,180,154.21813161576452,206.39047494323427,6.29520444542865
operational,residual_random_forest,val,180,179.37108385172496,234.3538051279949,-42.06000236854959
operational,ar_tweedie_global,val,180,181.7667998363148,241.76088820845803,-42.65946221655318
operational,residual_hist_gbm,val,180,183.0815233972208,249.36182432716248,-56.52420022252396
operational,panel_hist_gbm,val,180,296.5764403574513,367.6179530490974,249.6358903729433
operational,seasonal_naive_52,val,180,520.176703796606,714.4171463001113,-42.26740560422051
